date,open,high,low,close,volume
2016-01-07,431.6,457.14,429.11,455.76,15982.39472901
2016-01-06,432.55,432.67,426.54,431.6,5299.74387643
2016-01-05,435.0,435.5,429.5,432.55,3971.56267541
2016-01-04,428.62,435.86,428.42,435.0,5656.97442984
2016-01-03,433.54,434.17,424.06,428.62,4528.01997177
2016-01-02,433.55,435.99,430.42,433.54,2971.48759381
2016-01-01,431.26,436.0,427.2,433.55,3802.90026415
2015-12-31,428.0,433.89,419.99,431.26,6665.04862313
2015-12-30,427.93,434.97,420.75,428.0,8004.12757355
2015-12-29,421.44,433.17,418.55,427.93,10337.46228127
2015-12-28,424.79,429.86,417.01,421.44,7427.06343119
2015-12-27,415.74,425.42,410.5,424.79,7200.09137721
2015-12-26,456.23,457.45,407.25,415.74,26269.12468305
2015-12-25,455.12,458.33,448.0,456.23,2920.48175105
2015-12-24,442.7,459.54,442.09,455.12,10298.73620455
2015-12-23,435.24,445.52,434.43,442.7,7063.45986706
2015-12-22,435.16,443.58,433.06,435.24,8360.3790414
2015-12-21,442.18,450.0,425.52,435.16,18644.64341507
2015-12-20,461.34,462.0,433.83,442.18,16661.88034146
2015-12-19,463.0,465.9,452.03,461.34,6981.52906164
2015-12-18,454.86,466.64,453.5,463.0,12733.45781153
2015-12-17,454.06,458.84,448.75,454.86,6676.27980676
2015-12-16,462.5,465.0,436.89,454.06,24059.44148613
2015-12-15,442.67,464.99,440.72,462.5,17590.15464299
2015-12-14,434.3,448.12,428.42,442.67,13716.75080559
2015-12-13,434.1,442.97,422.03,434.3,11727.27604268
2015-12-12,449.17,467.8,403.0,434.1,30496.37154407
2015-12-11,416.18,454.36,415.13,449.17,27876.84618142
2015-12-10,417.23,419.79,408.91,416.18,8596.35355461
2015-12-09,395.54,424.95,395.14,417.23,24734.45875291
2015-12-08,395.98,397.99,388.33,395.54,8086.27438062
2015-12-07,392.44,399.91,381.01,395.98,14840.53658877
2015-12-06,388.11,399.85,380.74,392.44,15704.51367317
2015-12-05,362.41,389.89,361.14,388.11,15399.73753162
2015-12-04,361.35,364.3,355.92,362.41,9844.59143082
2015-12-03,359.92,370.53,356.21,361.35,12599.77780106
2015-12-02,363.0,363.17,348.64,359.92,11923.97085698
2015-12-01,378.57,379.0,354.56,363.0,15926.25708427
2015-11-30,372.23,383.0,367.11,378.57,18081.29568855
2015-11-29,355.21,372.78,354.45,372.23,7481.75529569
2015-11-28,359.43,360.49,350.41,355.21,6519.38154496
2015-11-27,351.03,364.8,347.84,359.43,13990.60006629
